"","Transect","Common.Names","Fish_Number","Size","Scientific.Names","Family","Species_Richness","simpsons","depth","PCovHalophila","PCovMacroalgae","PCovOther","PCovThalassia","PCovHalodule","PCovRubble","PCovSyringodium","nativecover","totalcover","PCovSand"
"1","1 Intermediate","Slippery Dick ",41,"<2","Halichoeres bivittatus","Labridae",8,0.849673202614379,10.12919984,27,0,0,0,0,0,31,31,58,42
"2","1 Intermediate","Slippery Dick ",42,"<2","Halichoeres bivittatus","Labridae",8,0.849673202614379,10.12919984,27,0,0,0,0,0,31,31,58,42
"3","1 Intermediate","Slippery Dick ",44,"3-4cm","Halichoeres bivittatus","Labridae",8,0.849673202614379,10.12919984,27,0,0,0,0,0,31,31,58,42
"4","1 Intermediate","Green Razorfish",119,"6-10cm","Xyrichtys splendens","Labridae",8,0.849673202614379,10.12919984,27,0,0,0,0,0,31,31,58,42
"5","1 Intermediate","Trumpet",40,"2-3cm","Aulostromus maculatus ","Aulostomidae ",8,0.849673202614379,10.12919984,27,0,0,0,0,0,31,31,58,42
"6","1 Intermediate","Bridled Goby",116,"3-4cm","Coryphopterus glaucofraenum ","Gobiidae",8,0.849673202614379,10.12919984,27,0,0,0,0,0,31,31,58,42
"7","1 Intermediate","Slippery Dick ",45,"3-4cm","Halichoeres bivittatus","Labridae",8,0.849673202614379,10.12919984,27,0,0,0,0,0,31,31,58,42
"8","1 Intermediate","Bridled Goby",39,"<2","Coryphopterus glaucofraenum ","Gobiidae",8,0.849673202614379,10.12919984,27,0,0,0,0,0,31,31,58,42
"9","1 Intermediate","Slippery Dick ",43,"3-4cm","Halichoeres bivittatus","Labridae",8,0.849673202614379,10.12919984,27,0,0,0,0,0,31,31,58,42
"10","1 Intermediate","Dwarf Sand Perch",117,"4-5cm","Diplectrum bivittatum","Serranidae",8,0.849673202614379,10.12919984,27,0,0,0,0,0,31,31,58,42
"11","1 Intermediate","Redband Parrotfish",121,"6-10cm","Sparisoma aurofrenatum","Scaridae",8,0.849673202614379,10.12919984,27,0,0,0,0,0,31,31,58,42
"12","1 Intermediate","Redband Parrotfish",120,"2-3cm","Sparisoma aurofrenatum","Scaridae",8,0.849673202614379,10.12919984,27,0,0,0,0,0,31,31,58,42
"13","1 Intermediate","Slippery Dick ",46,"3-4cm","Halichoeres bivittatus","Labridae",8,0.849673202614379,10.12919984,27,0,0,0,0,0,31,31,58,42
